time;level;message;exception;callsite;stacktrace
2018-07-09 00:07:02.6970;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-09 15:38:43.8805;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-09 15:39:15.1959;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-10 06:50:32.1379;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-10 06:51:27.0270;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-12 04:30:57.5464;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-12 04:32:07.5566;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-15 08:07:22.3834;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-15 14:49:55.9134;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-15 14:50:12.8487;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
