time;level;message;exception;callsite;stacktrace
2018-07-16 23:20:14.9328;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-16 23:20:49.5857;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-17 20:43:07.4233;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-17 20:43:45.6669;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-18 08:15:53.3323;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-18 09:04:52.8824;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-18 09:05:25.3145;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-18 14:16:15.3133;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
2018-07-18 14:16:46.6828;Info;Starting NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStart;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStart
2018-07-18 22:44:57.0050;Info;Stopping NoteBookFanControlService;;NbfcService.NoteBookFanControlService.OnStop;ServerContextTerminatorSink.SyncProcessMessage => ClientActivatedIdentity.SyncObjectProcessMessage => LeaseSink.SyncProcessMessage => ServerObjectTerminatorSink.SyncProcessMessage => StackBuilderSink.SyncProcessMessage => RemotingServices.InternalExecuteMessage => RemotingServices.InternalExecute => MonoServiceRunner.StartService => AppDomain.ExecuteAssembly => AppDomain.ExecuteAssemblyInternal => AppDomain.ExecuteAssembly => Program.Main => ServiceBase.Run => ServiceBase.Run => MonoServiceRunner.MainLoop => MonoServiceRunner.call => MethodBase.Invoke => MonoMethod.Invoke => MonoMethod.InternalInvoke => NoteBookFanControlService.OnStop
